,category,exceptionnum,meterid,similary,smallratio
221,4,1.0,meterId201901071648139280103772849458,1.5708922120474222,0.0
151,4,0.0,meterId201811221619124830103820956289,1.4972711151609042,0.0
239,4,0.0,meterId201905291848281980103000002788,1.3423960800550954,0.15476190476190477
54,4,0.0,meterId201812041032086230103530798701,1.3326000572178642,0.0
267,4,0.0,meterId201811261002391070103662407210,1.3027394606031792,0.005494505494505495
133,4,0.0,meterId201811211339326220103189142666,1.2967342004745586,0.0
199,4,0.0,meterId201811301312172850103753256893,1.2672893064067,0.0
166,4,0.0,meterId201905291848281980103000002852,1.2550860432611115,0.011904761904761904
137,4,0.0,meterId201811221509323680103607559207,1.2059585824250436,0.0
93,4,0.0,meterId201811210922566540103808911033,1.1591767132668314,0.0
27,4,1.0,meterId201905291848281980103000002782,1.154531439944775,0.0
127,4,0.0,meterId201905291848281980103000002875,1.113793073003273,0.008928571428571428
22,4,0.0,meterId201811211406522260103091355703,1.1012716011551562,0.0
48,4,0.0,meterId201905291848281980103000002787,1.0826701160701477,0.0
10,4,0.0,meterId201811211117543290103937914796,1.0742563083171257,0.0
254,4,0.0,meterId201905291848281980103000002831,1.0559223228492958,0.0
65,4,0.0,meterId201811281621124280103280960982,1.0404565386730564,0.03428571428571429
32,4,0.0,meterId201812111015055900103222860823,1.039600392983746,0.0
140,4,0.0,meterId201901071758284740103147024036,1.0346311967874924,0.014285714285714285
197,4,0.0,meterId201812041004037060103698375564,1.0014352218034206,0.0
64,4,0.0,meterId201905291848281980103000002814,0.9985575521930576,0.0
56,4,0.0,meterId201811211239370430103190258981,0.9692248276474495,0.0
176,4,0.0,meterId201811281634479160103028879247,0.898157404695196,0.005714285714285714
106,4,0.0,meterId201905291848281980103000002910,0.7976431197130468,0.0
97,4,0.0,meterId201905291848281980103000002871,0.7702734153761289,0.0
146,4,0.0,meterId201905291848281980103000002862,0.6113888617863529,0.0
98,4,0.0,meterId201905291848281980103000002865,0.4632063962727268,0.0
83,4,0.0,meterId201905291848281980103000002866,0.45868100023665176,0.0
