
CR_ID,EQ_ID,Data_Date,EQ_NO,Reading_Time,Reading_Value,Working_Flow,Standard_Flow,Working_Sum,Pressure,Temperature,Standard_Sum,TENANT_ID
19011608001439342363,201901141728344420103096709946,2019-01-16 03:00:00,818120198068,16/1/2019 08:00:14,0,0.0,0.0,3.8221,102.7734,-1.4375,3.9384,263
19011608001439342364,201901141728344420103096709946,2019-01-16 04:00:00,818120198068,16/1/2019 08:00:14,0,0.0,0.0,3.8221,102.6953,-1.8125,3.9384,263
19011608002239342369,201901141728344420103096709946,2019-01-16 05:00:00,818120198068,16/1/2019 08:00:22,0,0.0,0.0,3.8221,102.6563,-2.125,3.9384,263
19011608002239342370,201901141728344420103096709946,2019-01-16 06:00:00,818120198068,16/1/2019 08:00:22,0,0.0,0.0,3.8221,102.6406,-2.375,3.9384,263
19011608002239342371,201901141728344420103096709946,2019-01-16 07:00:00,818120198068,16/1/2019 08:00:22,0,0.0,0.0,3.8221,102.6953,-2.5625,3.9384,263
19011608002239342372,201901141728344420103096709946,2019-01-16 08:00:00,818120198068,16/1/2019 08:00:22,0,0.0,0.0,3.8221,102.8203,-2.4375,3.9384,263
19011707593639581547,201901141728344420103096709946,2019-01-16 09:00:00,818120198068,17/1/2019 07:59:36,0,0.0,0.0,3.8221,102.8984,-2.0625,3.9384,263
19011707593639581548,201901141728344420103096709946,2019-01-16 10:00:00,818120198068,17/1/2019 07:59:36,0,0.0,0.0,3.8221,103.0781,-1.3125,3.9384,263
19011707593639581549,201901141728344420103096709946,2019-01-16 11:00:00,818120198068,17/1/2019 07:59:36,0,0.0,0.0,3.8221,103.1563,-0.5625,3.9384,263
19011707593639581550,201901141728344420103096709946,2019-01-16 12:00:00,818120198068,17/1/2019 07:59:36,0,0.0,0.0,3.8221,103.2031,0.1875,3.9384,263
19011707594439581555,201901141728344420103096709946,2019-01-16 13:00:00,818120198068,17/1/2019 07:59:44,0,0.0,0.0,3.8221,103.2656,1.125,3.9384,263
19011707594439581556,201901141728344420103096709946,2019-01-16 14:00:00,818120198068,17/1/2019 07:59:44,0,0.0,0.0,3.8221,103.2813,2.25,3.9384,263
19011707594439581557,201901141728344420103096709946,2019-01-16 15:00:00,818120198068,17/1/2019 07:59:44,0,0.0,0.0,3.8221,103.6719,5.625,3.9384,263
19011707594439581558,201901141728344420103096709946,2019-01-16 16:00:00,818120198068,17/1/2019 07:59:44,0,0.0,0.0,3.8221,103.0313,6.3125,3.9384,263
19011707595239581561,201901141728344420103096709946,2019-01-16 17:00:00,818120198068,17/1/2019 07:59:52,0,0.0,0.0,3.8221,102.4844,5.1875,3.9384,263
19011707595239581562,201901141728344420103096709946,2019-01-16 18:00:00,818120198068,17/1/2019 07:59:52,0,0.0,0.0,3.8221,102.1953,4.0,3.9384,263
19011707595239581563,201901141728344420103096709946,2019-01-16 19:00:00,818120198068,17/1/2019 07:59:52,0,0.0,0.0,3.8221,102.0703,3.0,3.9384,263
19011707595239581564,201901141728344420103096709946,2019-01-16 20:00:00,818120198068,17/1/2019 07:59:52,0,0.0,0.0,3.8221,102.0078,2.125,3.9384,263
19011807593239823225,201901141728344420103096709946,2019-01-16 21:00:00,818120198068,18/1/2019 07:59:32,0,0.0,0.0,3.8221,101.9922,1.4375,3.9384,263
19011807593239823226,201901141728344420103096709946,2019-01-16 22:00:00,818120198068,18/1/2019 07:59:32,0,0.0,0.0,3.8221,101.9922,0.75,3.9384,263
19011807593239823227,201901141728344420103096709946,2019-01-16 23:00:00,818120198068,18/1/2019 07:59:32,0,0.0,0.0,3.8221,102.0234,0.125,3.9384,263
19011807593239823228,201901141728344420103096709946,2019-01-17 00:00:00,818120198068,18/1/2019 07:59:32,0,0.0,0.0,3.8221,102.0703,-0.375,3.9384,263
19011807594039823231,201901141728344420103096709946,2019-01-17 01:00:00,818120198068,18/1/2019 07:59:40,0,0.0,0.0,3.8221,102.0859,-0.6875,3.9384,263
19011807594039823232,201901141728344420103096709946,2019-01-17 02:00:00,818120198068,18/1/2019 07:59:40,0,0.0,0.0,3.8221,102.1172,-0.9375,3.9384,263
19011807594039823233,201901141728344420103096709946,2019-01-17 03:00:00,818120198068,18/1/2019 07:59:40,0,0.0,0.0,3.8221,102.1953,-1.0625,3.9384,263
19011807594039823234,201901141728344420103096709946,2019-01-17 04:00:00,818120198068,18/1/2019 07:59:40,0,0.0,0.0,3.8221,102.1953,-1.125,3.9384,263
19011807594839823235,201901141728344420103096709946,2019-01-17 05:00:00,818120198068,18/1/2019 07:59:49,0,0.0,0.0,3.8221,102.1953,-1.25,3.9384,263
19011807594839823236,201901141728344420103096709946,2019-01-17 06:00:00,818120198068,18/1/2019 07:59:49,0,0.0,0.0,3.8221,102.1953,-1.375,3.9384,263
19011807594839823237,201901141728344420103096709946,2019-01-17 07:00:00,818120198068,18/1/2019 07:59:49,0,0.0,0.0,3.8221,102.1953,-1.5,3.9384,263
19011807594839823238,201901141728344420103096709946,2019-01-17 08:00:00,818120198068,18/1/2019 07:59:49,0,0.0,0.0,3.8221,102.2109,-1.625,3.9384,263
19011907592740063071,201901141728344420103096709946,2019-01-17 09:00:00,818120198068,19/1/2019 07:59:28,0,0.0,0.0,3.8221,102.3906,-1.3125,3.9384,263
19011907592740063072,201901141728344420103096709946,2019-01-17 10:00:00,818120198068,19/1/2019 07:59:28,0,0.0,0.0,3.8221,102.6953,-0.125,3.9384,263
19011907592740063073,201901141728344420103096709946,2019-01-17 11:00:00,818120198068,19/1/2019 07:59:28,0,0.0,0.0,3.8221,103.0469,1.6875,3.9384,263
19011907592740063074,201901141728344420103096709946,2019-01-17 12:00:00,818120198068,19/1/2019 07:59:28,0,0.0,0.0,3.8221,103.2188,3.75,3.9384,263
19011907593540063075,201901141728344420103096709946,2019-01-17 13:00:00,818120198068,19/1/2019 07:59:36,0,0.0,0.0,3.8221,103.2656,5.5,3.9384,263
19011907593540063076,201901141728344420103096709946,2019-01-17 14:00:00,818120198068,19/1/2019 07:59:36,0,0.0,0.0,3.8221,103.2188,7.0625,3.9384,263
19011907593540063077,201901141728344420103096709946,2019-01-17 15:00:00,818120198068,19/1/2019 07:59:36,0,0.0,0.0,3.8221,103.6016,10.5625,3.9384,263
19011907593540063078,201901141728344420103096709946,2019-01-17 16:00:00,818120198068,19/1/2019 07:59:36,0,0.0,0.0,3.8221,102.9453,11.25,3.9384,263
