,category,exceptionnum,meterid,similary,smallratio
1463,-1,0,meterId201903060854375350103638718018,inf,0.0
1462,-1,0,meterId201903051152178540103484783237,inf,0.0
1461,-1,0,meterId201903051020577030103242227140,inf,0.0
1582,-1,0,meterId201904191816203130103417483324,inf,0.0
1583,-1,0,meterId201904192151395790103832696179,inf,0.0
1584,-1,0,meterId201904200847051730103632028760,inf,0.0
1585,-1,0,meterId201904200913543560103135980063,inf,0.0
1666,-1,0,meterId201905141007130690103806451945,inf,0.0
1665,-1,0,meterId201905140906261130103795601041,inf,0.0
1664,-1,0,meterId201905131853382940103465387772,inf,0.0
1663,-1,0,meterId201905131639032570103139272254,inf,0.0
1662,-1,0,meterId201905131614057640103943500881,inf,0.0
1661,-1,0,meterId201905131523182080103953674210,inf,0.0
1660,-1,0,meterId201905131519484070103804503029,inf,0.0
1659,-1,0,meterId201905131139230580103966709485,inf,0.0
1658,-1,0,meterId201905111120450600103560065804,inf,0.0
1657,-1,0,meterId201905101536215780103490076776,inf,0.0
1656,-1,0,meterId201905101527196890103063872952,inf,0.0
1655,-1,0,meterId201905101445003610103828222641,inf,0.0
1654,-1,0,meterId201905101021435910103002810515,inf,0.0
1653,-1,0,meterId201905101011228560103520328055,inf,0.0
1652,-1,0,meterId201905100944574770103650837166,inf,0.0
1651,-1,0,meterId201905091547048920103092199250,inf,0.0
1650,-1,0,meterId201905071457256930103019711350,inf,0.0
1649,-1,0,meterId201905071128325050103268425163,inf,0.0
1648,-1,0,meterId201905070948537650103808098783,inf,0.0
1647,-1,0,meterId201905061538504460103983681388,inf,0.0
1646,-1,0,meterId201905061422422200103670435304,inf,0.0
1645,-1,0,meterId201905061212237000103887256752,inf,0.0
1644,-1,0,meterId201905061101068240103807361335,inf,0.0
1643,-1,0,meterId201905061027178690103590090748,inf,0.0
1642,-1,0,meterId201905060926333270103789258579,inf,0.0
1667,-1,0,meterId201905141842439930103319952619,inf,0.0
1668,-1,0,meterId201905151136512050103135787963,inf,0.0
1669,-1,0,meterId201905151329429420103200227515,inf,0.0
1683,-1,0,meterId201905221326402310103160783266,inf,0.0
1694,-1,0,meterId201905301939103340103082084522,inf,0.0
1693,-1,0,meterId201905301631021490103499630800,inf,0.0
1692,-1,0,meterId201905301016175470103020324300,inf,0.0
1691,-1,0,meterId201905291525084550103446139380,inf,0.0
1690,-1,0,meterId201905281617126840103803556100,inf,0.0
1689,-1,0,meterId201905280932195740103706554113,inf,0.0
1688,-1,0,meterId201905271600319770103673645470,inf,0.0
1687,-1,0,meterId201905251018085180103971404480,inf,0.0
1686,-1,0,meterId201905241919259330103342270003,inf,0.0
1685,-1,0,meterId201905241912286990103293723661,inf,0.0
1684,-1,0,meterId201905221541502160103111303428,inf,0.0
1682,-1,0,meterId201905201601316360103447082163,inf,0.0
1670,-1,0,meterId201905161628433250103828311036,inf,0.0
1681,-1,0,meterId201905201515534370103822270001,inf,0.0
1680,-1,0,meterId201905201223401070103689836630,inf,0.0
1679,-1,0,meterId201905200923487050103118426494,inf,0.0
1678,-1,0,meterId201905191729201220103690122773,inf,0.0
1677,-1,0,meterId201905181725280850103711465982,inf,0.0
1676,-1,0,meterId201905181724536700103269815212,inf,0.0
1675,-1,0,meterId201905181349028430103723945905,inf,0.0
1674,-1,0,meterId201905180953000220103231547190,inf,0.0
1673,-1,0,meterId201905171644162020103233134345,inf,0.0
1672,-1,0,meterId201905170950452600103848447783,inf,0.0
1671,-1,0,meterId201905161712207170103577578739,inf,0.0
1641,-1,0,meterId201905051542158580103881783614,inf,0.0
1640,-1,0,meterId201905051530295060103392045235,inf,0.0
1639,-1,0,meterId201905041615352240103663325594,inf,0.0
1598,-1,0,meterId201904210951536570103826566230,inf,0.0
1609,-1,0,meterId201904221539563260103825991044,inf,0.0
1608,-1,0,meterId201904221131138140103334095073,inf,0.0
1607,-1,0,meterId201904220924334270103169069689,inf,0.0
1606,-1,0,meterId201904211704238380103814500947,inf,0.0
1605,-1,0,meterId201904211639346530103776997726,inf,0.0
1604,-1,0,meterId201904211601549980103560315526,inf,0.0
1603,-1,0,meterId201904211526306890103652719265,inf,0.0
1602,-1,0,meterId201904211449416930103894296436,inf,0.0
1601,-1,0,meterId201904211419562280103463198994,inf,0.0
1600,-1,0,meterId201904211415479900103799216944,inf,0.0
1599,-1,0,meterId201904210953125480103478186358,inf,0.0
1597,-1,0,meterId201904210856101780103136853933,inf,0.0
1611,-1,0,meterId201904221650123620103335889128,inf,0.0
1596,-1,0,meterId201904201732044630103963481406,inf,0.0
1595,-1,0,meterId201904201638302660103279296440,inf,0.0
1594,-1,0,meterId201904201601119650103856068988,inf,0.0
1593,-1,0,meterId201904201550277810103614859178,inf,0.0
1592,-1,0,meterId201904201424449160103232787124,inf,0.0
1591,-1,0,meterId201904201412555700103768926051,inf,0.0
1590,-1,0,meterId201904201348016720103101537100,inf,0.0
1589,-1,0,meterId201904201108294480103721895459,inf,0.0
1588,-1,0,meterId201904201055271710103658173175,inf,0.0
1587,-1,0,meterId201904201042048080103596044977,inf,0.0
1586,-1,0,meterId201904201029071440103826913278,inf,0.0
1610,-1,0,meterId201904221630494630103988105986,inf,0.0
1612,-1,0,meterId201904221711280930103107341872,inf,0.0
1638,-1,0,meterId201905040944391770103676701814,inf,0.0
1626,-1,0,meterId201904261644470280103575751792,inf,0.0
1637,-1,0,meterId201905031606073960103528364239,inf,0.0
1636,-1,0,meterId201905031509296260103391454603,inf,0.0
1635,-1,0,meterId201905021710378970103469937220,inf,0.0
1634,-1,0,meterId201904301642047920103287420588,inf,0.0
1633,-1,0,meterId201904301306415730103429012161,inf,0.0
1632,-1,0,meterId201904301034457750103452836418,inf,0.0
1631,-1,0,meterId201904290947055450103180930681,inf,0.0
1630,-1,0,meterId201904281556041170103176805720,inf,0.0
1629,-1,0,meterId201904281142337570103766900893,inf,0.0
1628,-1,0,meterId201904271703081540103273835808,inf,0.0
1627,-1,0,meterId201904270847141890103112327053,inf,0.0
1625,-1,0,meterId201904261612000090103145473670,inf,0.0
1613,-1,0,meterId201904231000501830103952982622,inf,0.0
1624,-1,0,meterId201904261554429690103083338360,inf,0.0
1623,-1,0,meterId201904251543370610103096306227,inf,0.0
1622,-1,0,meterId201904251441226160103183227543,inf,0.0
1621,-1,0,meterId201904250836111660103080209135,inf,0.0
1620,-1,0,meterId201904241509571560103935990507,inf,0.0
1619,-1,0,meterId201904241033195860103202769477,inf,0.0
1618,-1,0,meterId201904241002109700103121086254,inf,0.0
1617,-1,0,meterId201904231913159370103795268952,inf,0.0
1616,-1,0,meterId201904231637110620103594204663,inf,0.0
1615,-1,0,meterId201904231420076640103295086882,inf,0.0
1614,-1,0,meterId201904231414226580103415528443,inf,0.0
1303,-1,0,meterId201812101201046790103206403352,inf,0.0
1296,-1,0,meterId201812071652581190103966450721,inf,0.0
1,-1,0,meterId201710211928192140103523168538,inf,0.0
346,-1,0,meterId201804190833329990103757760732,inf,0.0
411,-1,0,meterId201805251630526030103821210989,inf,0.0
410,-1,0,meterId201805251544565560103758132128,inf,0.0
409,-1,0,meterId201805251539469220103082759640,inf,0.0
407,-1,0,meterId201805241608557620103487403450,inf,0.0
405,-1,0,meterId201805232159339620103170895979,inf,0.0
404,-1,0,meterId201805231548000430103411897332,inf,0.0
403,-1,0,meterId201805231536329370103122186261,inf,0.0
402,-1,0,meterId201805231530200730103963081152,inf,0.0
401,-1,0,meterId201805231429215890103232329784,inf,0.0
400,-1,0,meterId201805231424584990103878450109,inf,0.0
395,-1,0,meterId201805211532371000103064936670,inf,0.0
392,-1,0,meterId201805201703366230103675643999,inf,0.0
391,-1,0,meterId201805201636425070103938306050,inf,0.0
390,-1,0,meterId201805181026158650103561169186,inf,0.0
386,-1,0,meterId201805162235505840103647670373,inf,0.0
383,-1,0,meterId201805141652186200103335983152,inf,0.0
382,-1,0,meterId201805141649240100103200668457,inf,0.0
378,-1,0,meterId201805121203005110103581427080,inf,0.0
371,-1,0,meterId201805081028338320103519183702,inf,0.0
370,-1,0,meterId201805081020370460103050159020,inf,0.0
369,-1,0,meterId201805041649568490103970617610,inf,0.0
361,-1,0,meterId201804300939512000103573375232,inf,0.0
352,-1,0,meterId201804221517107550103212291305,inf,0.0
350,-1,0,meterId201804201616117320103761614886,inf,0.0
348,-1,0,meterId201804200930472430103550406393,inf,0.0
412,-1,0,meterId201805261059208060103280081121,inf,0.0
413,-1,0,meterId201805261546498220103958197394,inf,0.0
414,-1,0,meterId201805281643160500103733694689,inf,0.0
497,-1,0,meterId201807171310318570103506890161,inf,0.0
556,-1,0,meterId201808061808486940103707346616,inf,0.0
549,-1,0,meterId201808032055470680103104240795,inf,0.0
548,-1,0,meterId201808031853339340103364789074,inf,0.0
