,category,exceptionnum,meterid,similary,smallratio
377,4,0,meterId201805111701570010103816951596,2.2819765747016443,0.0
32,4,0,meterId201710231921093090103440959693,2.265694183547477,0.0
200,4,0,meterId201711231626088960103988192110,2.2620960488994095,0.0
240,4,0,meterId201712201018423890103779152815,2.2380092416197677,0.0
469,4,0.0,meterId201807061540008090103925590575,2.2183670946555303,0.0
235,4,3,meterId201712131645247710103000066488,2.2162227040761215,0.0
302,4,0,meterId201802271528341560103158201046,2.2144348053992555,0.0
733,4,0.0,meterId201808151534296130103360750660,2.1859794827190857,0.0
29,4,0,meterId201710231921093090103403533025,2.1690305067428266,0.0
197,4,0,meterId201711221056305980103871301606,2.161711752662483,0.0
141,4,2,meterId201711201059031770103580496835,2.161235408294364,0.0
14,4,0,meterId201710231921093090103122335047,2.148397914237858,0.0
124,4,0,meterId201711141422067650103023416747,2.1460410705708526,0.0
145,4,0,meterId201711210900489160103161839545,2.129261047693176,0.0
216,4,1,meterId201712021503238670103588271912,2.1270688723843367,0.0
139,4,0.0,meterId201711141813028190103581493839,2.126253568544819,0.015655577299412915
206,4,1,meterId201711251128095640103696013559,2.1203706274218037,0.0
990,4,0,meterId201810161639013530103816561983,2.1071089631977125,0.0
24,4,2,meterId201710231921093090103278237289,2.0939541706799276,0.0
693,4,0,meterId201808090920398960103000000676,2.0789359007788124,0.0
80,4,0,meterId201710251919589840103262724105,2.0718542369725355,0.0
188,4,0.0,meterId201711211926127780103000009959,2.063957020680506,0.005870841487279843
713,4,1,meterId201808101108241460103364158930,2.0574055149640413,0.0
41,4,0,meterId201710231921093090103599588594,2.054552172140967,0.0
360,4,4,meterId201804281854047250103246041189,2.0280571781014416,0.0
65,4,0,meterId201710231921093090103930184686,2.0266779201565854,0.0
786,4,0,meterId201808311108536520103475793917,1.998578825635832,0.0
192,4,0,meterId201711211926129020103000009947,1.9931407734525375,0.0
499,4,0,meterId201807171803341510103609668025,1.9901058890682528,0.0
914,4,0,meterId201810061231115890103097631834,1.9890473547420415,0.0
380,4,0,meterId201805141014118040103409856559,1.9698897765151633,0.0
220,4,0,meterId201712051311294840103636093276,1.963217483397732,0.0
976,4,0,meterId201810161615413300103427429051,1.960689731066163,0.0
133,4,1.0,meterId201711141758587350103808091875,1.9575156174424768,0.0019569471624266144
286,4,0,meterId201801311553235150103392346410,1.9566504675809575,0.0
225,4,0,meterId201712091422398120103201257960,1.947511916570588,0.0
749,4,0,meterId201808211006359110103438081537,1.9364390480258509,0.0
785,4,0,meterId201808311049301340103796632853,1.9272857429255819,0.0
607,4,0,meterId201808090920393710103000000824,1.9081156778824906,0.0
522,4,0,meterId201807241328055220103111136970,1.9016438262501019,0.0
449,4,0.0,meterId201806211024461710103270603120,1.9013619502719483,0.0
831,4,0,meterId201809151458188710103046730790,1.8958511261887556,0.0
844,4,0,meterId201809191053121590103598152152,1.8949235656069578,0.0
196,4,2,meterId201711211926129580103000009911,1.8930543331456724,0.0
234,4,5,meterId201712131048341370103096145185,1.8857235870573335,0.0
