,category,exceptionnum,meterid,similary,smallratio
478,1,0,meterId201807101714319910103484470361,2.1398078819128603,0.0
794,1,0,meterId201809031607297120103349973371,1.7337414383350247,0.0
1297,1,0.0,meterId201812071703585880103647113241,1.7134037843593637,0.0
1364,1,0,meterId201812291053234420103382255380,1.706069305915467,0.0
997,1,0,meterId201810161720307150103780334886,1.6472208785703724,0.0
1122,1,0,meterId201811071639575320103737754142,1.5944905142395787,0.0
853,1,0,meterId201809211321519880103248112977,1.591769647095802,0.0
448,1,1,meterId201806201935460400103868712470,1.4991688809587562,0.0
1096,1,0.0,meterId201811021315597850103270100240,1.4859124709836153,0.0
1407,1,0.0,meterId201901181023102440103628458443,1.4812935676056158,0.0
1272,1,1,meterId201812051713362110103586644897,1.471960144387975,0.0
1048,1,0,meterId201810222019565560103762108555,1.4532532761644485,0.0
859,1,0,meterId201809261245236840103701544433,1.4498416521560316,0.0
1454,1,0.0,meterId201903021002220480103038631350,1.3851577922298208,0.0
583,1,0,meterId201808090920391400103000001228,1.3422566418394002,0.0
1451,1,0,meterId201902251420591600103472689289,1.3396522292879423,0.0
642,1,0,meterId201808090920395950103000000948,1.309388040811477,0.0
659,1,10,meterId201808090920396830103000000952,1.306292973724741,0.0
669,1,0,meterId201808090920397450103000000688,1.2988744473319869,0.0
1341,1,0,meterId201812181851133570103008572792,1.27934309315367,0.0
658,1,0,meterId201808090920396830103000000904,1.2742344640558716,0.0
1426,1,0,meterId201901241525358320103755790261,1.2602083161128559,0.0
1400,1,0.0,meterId201901121653166520103793540136,1.2498520622516862,0.0
1402,1,0.0,meterId201901131637502000103302835387,1.2108768247445474,0.0
1460,1,0,meterId201903041743003620103842485785,1.1694818263082536,0.0
1217,1,0,meterId201811221453422930103470146925,1.1640181577642756,0.0
1413,1,0.0,meterId201901211050562580103628988116,1.1503315917934802,0.0
1511,1,0,meterId201903301442458880103865407997,1.1352350087529919,0.0
1442,1,0,meterId201902170906056030103997402966,1.1072054584061244,0.0
819,1,0,meterId201809101238384750103955125424,1.0973065354098015,-4.078341013824885
1196,1,0,meterId201811171803047320103973397612,1.07502397682715,0.0
399,1,0,meterId201805230931130100103551074371,1.0552973848720277,0.0
1447,1,0.0,meterId201902210931159350103401171576,1.0326999584352936,0.06593406593406594
1481,1,0,meterId201903191025137070103472679300,1.0137937550497034,0.0
1489,1,0,meterId201903210929217680103403373109,1.0075463276311125,0.0
454,1,0,meterId201806251617462630103987806392,0.9833547632652618,0.0
1490,1,0.0,meterId201903211714524600103972655571,0.9706813185707358,0.0
1456,1,0,meterId201903031028278280103788392295,0.8789197915623471,0.0
1478,1,0,meterId201903151515089040103252098324,0.5534660483624948,-20.414285714285715
1476,1,0,meterId201903150932081700103408995204,0.5226307058227941,0.0
93,1,0,meterId201710251919589840103566236478,0.250119929798708,-705.46771037182
719,1,1.0,meterId201808111704151960103277365514,0.10256116577862309,-1.4794425087108014
